Suburb,Rooms,Type,Price,Method,Real estate,Distance,Bathroom,Car,Land size,Building area,Year built,Council area,Lattitude,Longtitude,Region name,Property count,Year Sold,Month Sold
Elwood,2,u,632000.0,PI,hockingstuart,7.7,1.0,1.0,0.0,54.0,1970.0,Port Phillip,-37.8831,144.9855,Southern Metropolitan,8989.0,2016,7
Frankston South,3,h,755000.0,S,hockingstuart,38.0,1.0,2.0,786.0,174.0,1960.0,Frankston,-38.16492,145.12656,South-Eastern Metropolitan,7566.0,2017,1
Reservoir,2,u,300000.0,S,Love,11.2,1.0,1.0,87.0,62.0,1970.0,Darebin,-37.7174,145.0016,Northern Metropolitan,21650.0,2016,7
Hawthorn East,3,h,1450000.0,PI,hockingstuart,7.5,2.0,2.0,466.0,176.0,1915.0,Boroondara,-37.8305,145.0475,Southern Metropolitan,6482.0,2016,7
Footscray,1,u,227000.0,S,Sweeney,6.4,1.0,1.0,0.0,52.0,1970.0,Maribyrnong,-37.7907,144.8924,Western Metropolitan,7570.0,2017,4
Preston,3,h,1200000.0,S,Love,8.8,1.0,1.0,847.0,120.0,1965.0,Darebin,-37.7279,144.9849,Northern Metropolitan,14577.0,2016,10
Chadstone,4,h,1415500.0,S,hockingstuart,13.6,2.0,1.0,1033.0,164.0,1950.0,Monash,-37.8738,145.1095,Southern Metropolitan,3582.0,2016,5
Richmond,2,t,1200000.0,SP,Jellis,2.6,2.0,1.0,170.0,89.0,1940.0,Yarra,-37.8229,144.9931,Northern Metropolitan,14949.0,2017,2
Hawthorn East,2,u,400000.0,VB,Noel,7.5,1.0,1.0,0.0,60.0,1965.0,Boroondara,-37.8339,145.0548,Southern Metropolitan,6482.0,2016,9
Werribee,3,h,570000.0,S,YPA,14.7,1.0,2.0,660.0,113.0,1960.0,Wyndham,-37.909079999999996,144.65774,Western Metropolitan,16166.0,2017,5
Seddon,3,h,1075000.0,SP,Jas,6.6,2.0,1.0,306.0,140.0,1900.0,Maribyrnong,-37.8038,144.8896,Western Metropolitan,2417.0,2016,8
Pascoe Vale,3,h,616000.0,S,Nelson,9.9,1.0,1.0,190.0,108.0,1970.0,Moreland,-37.7211,144.9508,Northern Metropolitan,7485.0,2016,9
Jacana,2,h,575500.0,S,RW,14.0,1.0,1.0,662.0,98.0,1960.0,Hume,-37.68988,144.91113,Northern Metropolitan,851.0,2017,8
Richmond,2,u,1667500.0,S,Jellis,2.4,2.0,2.0,92.0,141.0,1940.0,Yarra,-37.82324000000001,144.99174,Northern Metropolitan,14949.0,2017,7
Coburg,2,t,598000.0,S,Nelson,7.8,1.0,1.0,108.0,100.0,2007.0,Moreland,-37.7379,144.9617,Northern Metropolitan,11204.0,2016,8
Yarraville,2,u,501344.0,SP,Sweeney,7.0,1.0,1.0,0.0,72.0,1950.0,Maribyrnong,-37.8106,144.8957,Western Metropolitan,6543.0,2016,8
Kingsville,3,h,1340000.0,S,Jas,7.8,2.0,0.0,272.0,132.0,1915.0,Maribyrnong,-37.8079,144.8825,Western Metropolitan,1808.0,2016,11
Mentone,2,t,800000.0,SP,Hodges,20.0,1.0,1.0,0.0,104.0,1980.0,Kingston,-37.98937,145.06723,South-Eastern Metropolitan,6162.0,2017,3
Hampton,2,u,685000.0,SP,Buxton,13.8,1.0,0.0,0.0,81.0,2007.0,Bayside,-37.9392,145.00095,Southern Metropolitan,5454.0,2017,6
North Melbourne,2,h,1266000.0,S,Jellis,2.3,1.0,0.0,161.0,106.0,1960.0,Melbourne,-37.8043,144.9437,Northern Metropolitan,6821.0,2016,11
Maidstone,2,t,600000.0,S,Jas,9.2,2.0,1.0,145.0,112.0,2012.0,Maribyrnong,-37.7801,144.869,Western Metropolitan,3873.0,2016,8
Eltham North,4,h,890000.0,PI,Buckingham,18.0,2.0,2.0,786.0,206.0,1980.0,Nillumbik,-37.70257,145.14995,Eastern Metropolitan,2346.0,2017,6
Mentone,2,u,640000.0,S,Chisholm,20.0,1.0,1.0,128.0,72.0,1972.0,Kingston,-37.98346,145.06313,South-Eastern Metropolitan,6162.0,2017,8
Hadfield,2,u,487000.0,SP,Peter,12.1,1.0,2.0,198.0,96.0,2010.0,Moreland,-37.7132,144.9488,Northern Metropolitan,2606.0,2016,10
Hawthorn,1,u,292000.0,S,Woodards,4.6,1.0,0.0,0.0,56.0,1966.0,Boroondara,-37.8294,145.0382,Southern Metropolitan,11308.0,2016,7
Brunswick East,4,h,1210000.0,S,Biggin,4.0,2.0,2.0,425.0,140.0,1920.0,Moreland,-37.76262,144.97733,Northern Metropolitan,5533.0,2017,5
Maribyrnong,3,h,780000.0,VB,Nelson,8.7,3.0,2.0,173.0,184.0,2000.0,Maribyrnong,-37.773,144.8947,Western Metropolitan,4918.0,2016,5
Balwyn,3,h,905000.0,S,Kay,9.7,1.0,2.0,281.0,150.0,1995.0,Boroondara,-37.8013,145.0652,Southern Metropolitan,5682.0,2016,10
Box Hill,2,u,780000.0,S,Ray,13.1,1.0,1.0,171.0,80.0,2014.0,Whitehorse,-37.8158,145.1384,Eastern Metropolitan,4605.0,2017,6
Footscray,3,h,1155000.0,S,Burnham,6.4,1.0,3.0,585.0,120.0,1950.0,Maribyrnong,-37.7941,144.8924,Western Metropolitan,7570.0,2016,7
Hampton,4,h,1740000.0,S,Marshall,13.7,3.0,2.0,414.0,209.0,1950.0,Bayside,-37.9401,145.0083,Southern Metropolitan,5454.0,2016,11
Travancore,2,u,360000.0,SP,Pagan,5.3,1.0,1.0,0.0,51.0,2010.0,Moonee Valley,-37.7847,144.9383,Western Metropolitan,1052.0,2017,5
Essendon North,5,h,1360000.0,S,Nelson,9.4,3.0,2.0,463.0,196.0,1930.0,Moonee Valley,-37.7379,144.9022,Western Metropolitan,1308.0,2017,3
Camberwell,3,h,2105000.0,S,Fletchers,7.8,1.0,2.0,692.0,164.0,1940.0,Boroondara,-37.8379,145.0849,Southern Metropolitan,8920.0,2017,2
Oak Park,2,u,522000.0,S,Stockdale,11.5,1.0,1.0,161.0,91.0,2012.0,Moreland,-37.7204,144.9131,Northern Metropolitan,2651.0,2016,8
Reservoir,2,u,350000.0,PI,Barry,11.2,1.0,1.0,102.0,67.0,1970.0,Darebin,-37.7064,145.0264,Northern Metropolitan,21650.0,2016,12
Cheltenham,3,h,800000.0,SP,Buxton,17.9,1.0,1.0,366.0,121.0,1970.0,Kingston,-37.96877,145.07484,Southern Metropolitan,9758.0,2017,6
Reservoir,3,u,475000.0,S,Ray,11.2,1.0,1.0,191.0,107.0,1990.0,Darebin,-37.7019,145.0256,Northern Metropolitan,21650.0,2016,3
St Kilda,2,u,495000.0,PI,Buxton,6.1,1.0,1.0,0.0,74.0,1970.0,Port Phillip,-37.8616,144.9907,Southern Metropolitan,13240.0,2017,4
Kew,3,t,690000.0,S,McGrath,5.6,1.0,2.0,111.0,3.0,1872.0,Boroondara,-37.7941,145.0238,Southern Metropolitan,10331.0,2017,8
Brunswick West,2,u,400000.0,SP,Nelson,5.9,1.0,1.0,73.0,64.0,1960.0,Moreland,-37.7528,144.9368,Northern Metropolitan,7082.0,2016,10
Toorak,2,u,810000.0,SP,Jellis,4.6,2.0,2.0,0.0,94.0,1980.0,Stonnington,-37.842,145.0046,Southern Metropolitan,7217.0,2016,10
Northcote,2,u,583000.0,SP,Nelson,5.5,2.0,1.0,0.0,69.0,2011.0,Darebin,-37.7793,144.9972,Northern Metropolitan,11364.0,2016,6
Glenroy,3,h,610000.0,S,Walshe,13.0,1.0,3.0,640.0,144.0,1960.0,Moreland,-37.6979,144.9335,Northern Metropolitan,8870.0,2016,3
West Melbourne,2,t,1055000.0,S,Jellis,1.9,1.0,1.0,0.0,154.0,2009.0,Melbourne,-37.8094,144.9452,Northern Metropolitan,2230.0,2016,8
Doncaster,3,h,1152500.0,S,Barry,13.9,2.0,2.0,648.0,129.0,1980.0,Manningham,-37.7798,145.1368,Eastern Metropolitan,9028.0,2016,11
Strathmore,3,h,622500.0,S,Barry,9.7,2.0,2.0,254.0,127.0,2004.0,Moonee Valley,-37.7302,144.9167,Western Metropolitan,3284.0,2016,7
Heidelberg,2,t,738000.0,S,Miles,8.9,1.0,2.0,154.0,107.0,1985.0,Banyule,-37.75343,145.06328,Eastern Metropolitan,2890.0,2017,5
Melbourne,2,u,545000.0,SP,Greg,2.8,1.0,1.0,0.0,67.0,2002.0,Melbourne,-37.8188,144.9544,Northern Metropolitan,17496.0,2016,12
Meadow Heights,3,h,467000.0,S,Raine,17.4,1.0,1.0,565.0,98.0,1975.0,Hume,-37.65702,144.92446999999999,Northern Metropolitan,4704.0,2017,6
St Kilda,2,u,685000.0,S,Greg,6.1,2.0,2.0,0.0,102.0,1999.0,Port Phillip,-37.8568,144.9873,Southern Metropolitan,13240.0,2017,4
Pascoe Vale,3,u,533000.0,SP,Brad,9.9,2.0,2.0,197.0,111.0,2007.0,Moreland,-37.7266,144.9496,Northern Metropolitan,7485.0,2016,8
South Yarra,2,u,515000.0,VB,Harrington,3.3,1.0,1.0,734.0,65.0,2013.0,Stonnington,-37.8433,144.9962,Southern Metropolitan,14887.0,2016,4
Yarraville,4,h,706000.0,S,Jas,7.0,1.0,0.0,165.0,93.0,1900.0,Maribyrnong,-37.819,144.895,Western Metropolitan,6543.0,2016,4
Hampton,4,h,2130000.0,S,hockingstuart,13.7,2.0,2.0,714.0,188.0,1925.0,Bayside,-37.9446,145.0092,Southern Metropolitan,5454.0,2016,7
Armadale,3,h,1285000.0,S,Marshall,6.3,1.0,2.0,186.0,80.0,1920.0,Stonnington,-37.8554,145.0173,Southern Metropolitan,4836.0,2017,2
Strathmore,4,h,1715000.0,S,Paul,9.7,3.0,2.0,650.0,348.0,2001.0,Moonee Valley,-37.7363,144.9208,Western Metropolitan,3284.0,2016,6
Kew East,4,h,2162000.0,S,Jellis,7.3,2.0,3.0,794.0,192.0,1950.0,Boroondara,-37.79172,145.05863,Southern Metropolitan,2671.0,2017,3
Heidelberg Heights,3,h,909000.0,S,William,10.5,2.0,2.0,585.0,134.0,1960.0,Banyule,-37.7358,145.0546,Eastern Metropolitan,2947.0,2016,12
Hughesdale,4,h,1745000.0,S,Woodards,13.0,2.0,1.0,547.0,185.0,1925.0,Monash,-37.9002,145.0768,Southern Metropolitan,3145.0,2016,10
Pascoe Vale,4,h,780000.0,VB,Brad,8.5,2.0,3.0,555.0,128.0,1950.0,Moreland,-37.71561,144.94336,Northern Metropolitan,7485.0,2017,1
Richmond,3,h,2000000.0,S,Biggin,2.6,2.0,1.0,217.0,180.0,1910.0,Yarra,-37.8158,144.9931,Northern Metropolitan,14949.0,2016,11
Kensington,2,u,460000.0,SP,Rendina,4.2,1.0,1.0,0.0,84.0,2010.0,Melbourne,-37.7948,144.9314,Northern Metropolitan,5263.0,2016,4
Malvern East,2,u,820000.0,S,Besser,11.2,2.0,1.0,0.0,104.0,2013.0,Stonnington,-37.8823,145.0729,Southern Metropolitan,8801.0,2016,5
Preston,3,h,1242000.0,S,McGrath,8.4,2.0,3.0,468.0,135.5,1940.0,Darebin,-37.75335,145.01641999999995,Northern Metropolitan,14577.0,2017,6
Lalor,3,h,560000.0,S,Love,16.3,1.0,2.0,535.0,104.0,1970.0,Whittlesea,-37.6615,145.02761,Northern Metropolitan,8279.0,2017,7
South Melbourne,3,h,1825000.0,S,Marshall,2.1,2.0,2.0,151.0,153.0,1900.0,Port Phillip,-37.8383,144.9632,Southern Metropolitan,5943.0,2016,6
Surrey Hills,3,t,865000.0,S,Noel,11.2,1.0,1.0,217.0,101.0,1970.0,Whitehorse,-37.8275,145.1032,Southern Metropolitan,5457.0,2017,2
South Melbourne,2,t,1100000.0,S,Marshall,2.1,1.0,1.0,327.0,75.0,2004.0,Port Phillip,-37.8351,144.964,Southern Metropolitan,5943.0,2017,5
Collingwood,1,u,366000.0,S,Woodards,1.6,1.0,1.0,0.0,44.0,1970.0,Yarra,-37.796,144.9911,Northern Metropolitan,4553.0,2016,7
Elwood,1,u,390000.0,VB,hockingstuart,7.7,1.0,1.0,644.0,47.0,1960.0,Port Phillip,-37.8798,144.994,Southern Metropolitan,8989.0,2017,2
West Footscray,2,h,470000.0,SP,Greg,8.2,1.0,1.0,0.0,77.0,1975.0,Maribyrnong,-37.8088,144.8715,Western Metropolitan,5058.0,2017,6
McKinnon,2,h,1200000.0,SP,Buxton,11.4,1.0,2.0,397.0,96.0,1940.0,Glen Eira,-37.90978,145.02937,Southern Metropolitan,2397.0,2017,12
Port Melbourne,2,h,1080000.0,S,Scott,3.8,1.0,0.0,105.0,70.0,1910.0,Port Phillip,-37.8338,144.9474,Southern Metropolitan,8648.0,2016,12
Balwyn North,4,h,1850000.0,VB,Jellis,9.2,2.0,2.0,619.0,254.0,1990.0,Boroondara,-37.8025,145.0843,Southern Metropolitan,7809.0,2016,7
Gardenvale,2,u,393000.0,SP,Biggin,9.8,1.0,1.0,0.0,65.0,1970.0,Glen Eira,-37.8971,145.0093,Southern Metropolitan,534.0,2016,5
Carnegie,4,h,1667000.0,S,Ray,11.4,2.0,2.0,615.0,193.0,1920.0,Glen Eira,-37.8928,145.0531,Southern Metropolitan,7822.0,2017,5
Windsor,2,u,600000.0,S,Biggin,5.1,1.0,1.0,0.0,83.0,1970.0,Port Phillip,-37.8559,144.999,Southern Metropolitan,4380.0,2016,6
Northcote,3,h,1300000.0,S,Nelson,5.5,1.0,1.0,328.0,135.0,1920.0,Darebin,-37.7745,145.0045,Northern Metropolitan,11364.0,2016,9
Sunshine West,3,u,545000.0,S,Barry,13.5,2.0,1.0,240.0,131.0,2011.0,Brimbank,-37.7891,144.8152,Western Metropolitan,6763.0,2016,10
Cremorne,2,u,662500.0,S,Jellis,2.5,1.0,1.0,0.0,75.0,2015.0,Yarra,-37.8255,144.9948,Northern Metropolitan,1123.0,2016,11
Reservoir,2,t,652000.0,S,Nelson,11.2,2.0,2.0,254.0,93.0,2007.0,Darebin,-37.7071,145.0108,Northern Metropolitan,21650.0,2017,5
Bentleigh East,3,h,810000.0,PI,Buxton,13.9,1.0,1.0,294.0,105.0,1950.0,Glen Eira,-37.919000000000004,145.0803,Southern Metropolitan,10969.0,2017,5
Reservoir,2,t,495000.0,S,Nelson,11.2,1.0,1.0,96.0,73.0,2013.0,Darebin,-37.7139,145.0198,Northern Metropolitan,21650.0,2016,12
Carrum Downs,4,h,525000.0,S,Harcourts,34.9,2.0,2.0,550.0,172.0,2010.0,Frankston,-38.08981,145.17353,South-Eastern Metropolitan,8060.0,2017,5
Malvern East,4,h,1715157.0,S,Jellis,11.2,3.0,2.0,380.0,160.0,2008.0,Stonnington,-37.8792,145.0869,Southern Metropolitan,8801.0,2017,5
Oakleigh East,3,h,1210000.0,S,Buxton,12.3,1.0,2.0,700.0,115.0,1960.0,Monash,-37.9125,145.11844,Southern Metropolitan,2547.0,2017,6
Ivanhoe,4,h,1410000.0,S,Barry,7.9,2.0,1.0,449.0,252.0,1945.0,Banyule,-37.777,145.0414,Eastern Metropolitan,5549.0,2017,6
Keysborough,4,h,761000.0,S,Barry,25.2,1.0,2.0,680.0,170.0,1970.0,Greater Dandenong,-37.9865,145.16767,South-Eastern Metropolitan,8459.0,2017,1
Elsternwick,3,h,800000.0,VB,Hodges,8.5,2.0,2.0,331.0,112.0,2010.0,Glen Eira,-37.8847,144.9992,Southern Metropolitan,4898.0,2016,10
Pascoe Vale,4,h,1350000.0,PI,Nelson,9.9,2.0,2.0,646.0,287.0,1995.0,Moreland,-37.7256,144.9383,Northern Metropolitan,7485.0,2016,11
Kew,5,h,3800000.0,VB,Jellis,5.6,5.0,3.0,609.0,424.0,1970.0,Boroondara,-37.8064,145.0451,Southern Metropolitan,10331.0,2017,6
Mont Albert,3,t,1310000.0,S,Fletchers,11.8,2.0,2.0,330.0,148.0,2001.0,Whitehorse,-37.8167,145.107,Eastern Metropolitan,2079.0,2016,10
Elwood,2,u,825000.0,S,McGrath,7.7,1.0,2.0,0.0,86.0,1930.0,Port Phillip,-37.874,144.9819,Southern Metropolitan,8989.0,2016,7
Bentleigh East,5,h,1550000.0,PI,hockingstuart,13.9,3.0,2.0,583.0,296.0,2007.0,Glen Eira,-37.9143,145.0699,Southern Metropolitan,10969.0,2016,11
Balwyn,3,t,1680000.0,S,Fletchers,9.7,3.0,1.0,329.0,178.0,2005.0,Boroondara,-37.8101,145.0844,Southern Metropolitan,5682.0,2017,4
Armadale,2,u,852000.0,S,Woodards,6.3,1.0,1.0,869.0,74.0,1980.0,Stonnington,-37.8603,145.0224,Southern Metropolitan,4836.0,2017,4
North Melbourne,3,h,1485000.0,S,Jellis,2.3,1.0,1.0,198.0,95.0,1968.0,Melbourne,-37.8029,144.9459,Northern Metropolitan,6821.0,2017,5
Oakleigh,3,h,1025000.0,S,Ray,14.0,1.0,2.0,543.0,139.0,1940.0,Monash,-37.9023,145.105,Southern Metropolitan,3224.0,2017,2
Ashburton,3,h,1415000.0,S,Buxton,11.0,1.0,1.0,605.0,111.0,1950.0,Boroondara,-37.8703,145.0774,Southern Metropolitan,3052.0,2016,6
Carnegie,4,h,1450000.0,PI,Ray,11.4,2.0,2.0,557.0,200.0,1938.0,Glen Eira,-37.8955,145.0515,Southern Metropolitan,7822.0,2016,4
Ascot Vale,3,t,1050000.0,S,Jellis,5.9,2.0,2.0,318.0,160.0,2013.0,Moonee Valley,-37.7744,144.9035,Western Metropolitan,6567.0,2016,11
Pascoe Vale,3,u,600000.0,S,Nelson,9.9,1.0,1.0,204.0,124.0,2008.0,Moreland,-37.7234,144.9497,Northern Metropolitan,7485.0,2017,4
Cremorne,2,h,1015000.0,S,Biggin,2.5,1.0,1.0,131.0,80.0,1890.0,Yarra,-37.8274,144.9967,Northern Metropolitan,1123.0,2016,7
Moorabbin,1,u,240000.0,VB,Ray,14.6,1.0,1.0,0.0,43.0,1970.0,Kingston,-37.9428,145.0584,Southern Metropolitan,2555.0,2016,7
West Footscray,3,h,1575000.0,S,Sweeney,8.2,1.0,4.0,1000.0,85.0,1930.0,Maribyrnong,-37.7936,144.8639,Western Metropolitan,5058.0,2017,2
Footscray,2,t,455000.0,S,Biggin,5.1,1.0,1.0,43.0,86.0,2010.0,Maribyrnong,-37.78822,144.88361,Western Metropolitan,7570.0,2017,5
Camberwell,3,t,1320000.0,PI,Bekdon,7.7,2.0,2.0,227.0,223.0,2006.0,Boroondara,-37.84689,145.05863,Southern Metropolitan,8920.0,2017,1
Yarraville,3,h,865000.0,SP,Jas,7.0,1.0,1.0,189.0,87.0,1930.0,Maribyrnong,-37.8159,144.8795,Western Metropolitan,6543.0,2016,6
Albert Park,3,h,1800000.0,S,Marshall,3.3,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0,2016,10
Ashwood,3,u,890000.0,S,Jellis,12.2,2.0,2.0,235.0,130.0,2006.0,Monash,-37.8625,145.1083,Southern Metropolitan,2894.0,2017,5
Airport West,2,t,450000.0,S,Barry,13.5,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,2016,7
Northcote,3,h,1760000.0,S,Nelson,5.5,2.0,2.0,403.0,180.0,1920.0,Darebin,-37.7673,145.0081,Northern Metropolitan,11364.0,2016,5
South Yarra,1,u,367000.0,S,hockingstuart,3.3,1.0,0.0,0.0,42.0,1950.0,Stonnington,-37.8406,145.0035,Southern Metropolitan,14887.0,2016,5
Forest Hill,4,h,945000.0,S,Ray,15.4,2.0,2.0,294.0,194.0,2010.0,Whitehorse,-37.85156,145.16923,Eastern Metropolitan,4385.0,2017,7
Frankston South,4,h,945000.0,S,Bowman,38.0,2.0,2.0,694.0,265.0,2009.0,Frankston,-38.16227,145.1208,South-Eastern Metropolitan,7566.0,2017,7
Clifton Hill,3,h,1370000.0,S,Collins,3.4,2.0,1.0,176.0,135.0,1890.0,Yarra,-37.7921,144.9898,Northern Metropolitan,2954.0,2016,8
Niddrie,1,u,325000.0,PI,Nelson,11.2,1.0,1.0,710.0,58.0,2015.0,Moonee Valley,-37.7355,144.8874,Western Metropolitan,2291.0,2017,5
Coburg,2,u,500000.0,SP,Jellis,7.8,1.0,1.0,0.0,74.0,1970.0,Moreland,-37.7405,144.9644,Northern Metropolitan,11204.0,2016,7
Hawthorn,3,h,1485000.0,S,Marshall,5.3,2.0,2.0,0.0,139.0,1975.0,Boroondara,-37.82452,145.02204,Southern Metropolitan,11308.0,2017,12
Preston,2,h,700000.0,PI,Barry,8.8,1.0,1.0,214.0,85.0,1910.0,Darebin,-37.7462,145.0044,Northern Metropolitan,14577.0,2016,4
Camberwell,3,h,1620000.0,S,Jellis,7.8,2.0,2.0,575.0,155.0,2000.0,Boroondara,-37.8378,145.0909,Southern Metropolitan,8920.0,2017,5
Ringwood East,2,u,609000.0,S,Barry,21.3,1.0,2.0,190.0,70.0,1970.0,Maroondah,-37.80551,145.24589,Eastern Metropolitan,4407.0,2017,5
Ascot Vale,3,h,1380000.0,SP,Nelson,5.9,2.0,2.0,277.0,174.0,1910.0,Moonee Valley,-37.7777,144.9221,Western Metropolitan,6567.0,2017,4
Malvern,3,h,2020000.0,PI,Marshall,5.9,2.0,2.0,400.0,216.0,2007.0,Stonnington,-37.85183,145.03863,Southern Metropolitan,4675.0,2017,12
Carnegie,3,h,1050000.0,VB,Eview,10.1,1.0,2.0,184.0,133.0,1990.0,Glen Eira,-37.90017,145.05812,Southern Metropolitan,7822.0,2017,7
Broadmeadows,2,u,310000.0,S,Barry,14.0,1.0,1.0,171.0,90.0,2008.0,Hume,-37.68489,144.9212,Northern Metropolitan,4294.0,2017,6
Surrey Hills,4,h,1835000.0,SP,Jellis,11.2,2.0,2.0,619.0,185.0,1930.0,Boroondara,-37.8171,145.0934,Southern Metropolitan,5457.0,2016,5
Diamond Creek,2,h,621000.0,S,Mason,21.8,1.0,0.0,610.0,61.0,1939.0,Nillumbik,-37.67629,145.15589,Northern Victoria,4258.0,2017,1
Niddrie,4,h,950000.0,SP,Nelson,10.4,1.0,2.0,558.0,148.0,1970.0,Moonee Valley,-37.73834,144.88197,Western Metropolitan,2291.0,2017,7
Balwyn,2,u,830000.0,S,Fletchers,7.9,2.0,1.0,0.0,101.76,2007.0,Boroondara,-37.81192,145.07506,Southern Metropolitan,5682.0,2017,5
Maidstone,3,h,865000.0,SP,Jas,9.2,1.0,3.0,381.0,121.0,1940.0,Maribyrnong,-37.7874,144.8763,Western Metropolitan,3873.0,2016,8
Sunshine North,4,h,735000.0,S,Douglas,13.3,2.0,5.0,635.0,201.0,1975.0,Brimbank,-37.7693,144.8351,Western Metropolitan,4217.0,2016,4
Keilor Park,3,h,720000.0,S,Nelson,14.5,1.0,1.0,696.0,132.0,1975.0,Brimbank,-37.725,144.8586,Western Metropolitan,1119.0,2016,8
North Melbourne,2,u,726000.0,S,Jellis,2.3,1.0,1.0,0.0,64.0,1970.0,Melbourne,-37.7936,144.9426,Northern Metropolitan,6821.0,2017,4
Clifton Hill,2,u,641000.0,S,Jellis,3.4,1.0,1.0,72.0,90.0,1980.0,Yarra,-37.7881,145.0058,Northern Metropolitan,2954.0,2017,8
Carnegie,2,u,580010.0,SP,hockingstuart,10.1,1.0,1.0,0.0,72.0,1970.0,Glen Eira,-37.9003,145.06342,Southern Metropolitan,7822.0,2017,8
Carlton,3,h,1000000.0,PI,Jellis,1.6,1.0,0.0,96.0,80.0,1910.0,Melbourne,-37.79674,144.96563,Northern Metropolitan,6786.0,2017,6
Spotswood,3,h,1070000.0,S,Village,7.7,1.0,2.0,526.0,127.0,1950.0,Hobsons Bay,-37.8267,144.8779,Western Metropolitan,1223.0,2016,11
Preston,3,h,800000.0,PI,hockingstuart,8.8,2.0,2.0,319.0,124.0,1940.0,Darebin,-37.7334,144.9873,Northern Metropolitan,14577.0,2017,5
